DATE,CLOSE,HIGH,LOW,OPEN,VOLUME
2016-10-21,17184.59,17288.89,17151.98,17283.75,0
2016-10-24,17234.42,17244.74,17162.21,17216.56,0
2016-10-25,17365.25,17381.8,17298.63,17298.63,0
2016-10-26,17391.84,17391.84,17295.46,17329.03,0
2016-10-27,17336.42,17414.21,17278.12,17346.39,0
2016-10-28,17446.41,17461.03,17406.72,17448.25,0
2016-10-31,17425.02,17433.13,17327.62,17360.89,0
2016-11-01,17442.4,17473.12,17339.64,17380.54,0
2016-11-02,17134.68,17283.6,17080.59,17238,0
2016-11-04,16905.36,16996.09,16801.98,16964.5,0
2016-11-07,17177.21,17186.89,17056.84,17126.03,0
2016-11-08,17171.38,17247.04,17130.83,17242.7,0
2016-11-09,16251.54,17427.71,16111.81,17281.95,0
2016-11-10,17344.42,17393.82,16560.66,16562.86,0
2016-11-11,17374.79,17621.73,17333.49,17526.61,0
2016-11-14,17672.62,17697.33,17455.78,17467.49,0
2016-11-15,17668.15,17727.58,17605.77,17690.22,0
2016-11-16,17862.21,17886.44,17807.47,17832.51,0
2016-11-17,17862.63,17884.06,17764.08,17766.61,0
2016-11-18,17967.41,18043.72,17967.41,18024.21,0
2016-11-21,18106.02,18129.03,18007.79,18038.09,0
2016-11-22,18162.94,18175.63,18050.55,18091.05,0
2016-11-24,18333.41,18382.72,18310.31,18329.78,0
2016-11-25,18381.22,18482.94,18288.5,18387.59,0
2016-11-28,18356.89,18374.93,18222.82,18302.58,0
2016-11-29,18307.04,18327.51,18258.82,18263.63,0
2016-11-30,18308.48,18370.31,18280.66,18356.03,0
2016-12-01,18513.12,18746.28,18469.27,18535.24,0
2016-12-02,18426.08,18469.68,18315.38,18435.55,0
2016-12-05,18274.99,18365.74,18227.39,18349.92,0
2016-12-06,18360.54,18484.8,18318.99,18457.2,0
2016-12-07,18496.69,18502.47,18410.88,18434.54,0
2016-12-08,18765.47,18765.47,18614.01,18674.19,0
2016-12-09,18996.37,19042.48,18821.41,18839.98,0
2016-12-12,19155.03,19280.93,19054,19183.82,0
2016-12-13,19250.52,19253.51,19060.72,19120.76,0
2016-12-14,19253.61,19284.28,19184.75,19270.01,0
2016-12-15,19273.79,19436.9,19192.6,19327.7,0
2016-12-16,19401.15,19439.97,19360.36,19438.39,0
2016-12-19,19391.6,19399.26,19307.14,19345.84,0
2016-12-20,19494.53,19511.2,19356.81,19367.84,0
2016-12-21,19444.49,19592.9,19375.19,19547.28,0
2016-12-22,19427.67,19427.67,19327.51,19396.85,0
2016-12-26,19396.64,19432.48,19385.94,19394.41,0
2016-12-27,19403.06,19478.58,19352.06,19353.43,0
2016-12-28,19401.72,19442.13,19364.73,19392.11,0
2016-12-29,19145.14,19301.04,19092.22,19301.04,0
2016-12-30,19114.37,19176.81,18991.59,18997.68,0
2017-01-04,19594.16,19594.16,19277.93,19298.68,0
2017-01-05,19520.69,19615.4,19473.28,19602.1,0
2017-01-06,19454.33,19472.37,19354.44,19393.55,0
2017-01-10,19301.44,19484.9,19255.35,19414.83,0
2017-01-11,19364.67,19402.17,19325.46,19358.64,0
2017-01-12,19134.7,19300.19,19069.02,19300.19,0
2017-01-13,19287.28,19299.36,19156.93,19174.97,0
2017-01-16,19095.24,19255.41,19061.27,19219.13,0
2017-01-17,18813.53,19043.91,18812.86,19038.45,0
2017-01-18,18894.37,18941.24,18650.33,18753.96,0
2017-01-19,19072.25,19122.39,18982.13,19082.83,0
2017-01-20,19137.91,19176.86,19040.2,19059.15,0
2017-01-23,18891.03,19024.21,18879.68,18938.45,0
2017-01-24,18787.99,18915.7,18783.16,18817.42,0
2017-01-25,19057.5,19133.18,18987.45,19091.23,0
2017-01-26,19402.39,19405.23,19232.46,19260.67,0
2017-01-27,19467.4,19486.68,19404.13,19453.51,0
2017-01-30,19368.85,19390.97,19295.8,19371.28,0
2017-01-31,19041.34,19199.75,19041.34,19145.35,0
2017-02-01,19148.08,19155.79,18916.18,18926.97,0
2017-02-02,18914.58,19170.63,18866.8,19152.79,0
2017-02-03,18918.2,19061.26,18830.89,18996.74,0
2017-02-06,18976.71,19075.57,18899.4,19069.72,0
2017-02-07,18910.78,18970.58,18805.32,18844.12,0
2017-02-08,19007.6,19009.24,18875.57,18951.16,0
2017-02-09,18907.67,18991.23,18874.91,18942.04,0
2017-02-10,19378.93,19395.99,19193.57,19216.74,0
2017-02-13,19459.15,19519.44,19418.18,19513.78,0
2017-02-14,19238.98,19501.01,19232.85,19478.86,0
2017-02-15,19437.98,19495.62,19420,19438.81,0
2017-02-16,19347.53,19431.61,19260.24,19431.61,0
2017-02-17,19234.62,19275.39,19173.53,19228.74,0
2017-02-20,19251.08,19274.75,19115.11,19161.33,0
2017-02-21,19381.44,19395.35,19261.98,19267.87,0
2017-02-22,19379.87,19419.22,19329.28,19419.22,0
2017-02-23,19371.46,19379.92,19262.63,19379.92,0
2017-02-24,19283.54,19381.1,19219.58,19232.11,0
2017-02-27,19107.47,19178.99,18995.55,19130.51,0
2017-02-28,19118.99,19267.99,19118.99,19194.68,0
2017-03-01,19393.54,19414.55,19164.62,19226.94,0
2017-03-02,19564.8,19668.01,19564.8,19624.82,0
2017-03-03,19469.17,19587.79,19392.75,19551.34,0
2017-03-06,19379.14,19411.54,19340.32,19409.18,0
2017-03-07,19344.15,19375.09,19317.1,19337.19,0
2017-03-08,19254.03,19326.4,19198.78,19308.53,0
2017-03-09,19318.58,19350.2,19262.98,19343.06,0
2017-03-10,19604.61,19623.72,19427.81,19444.71,0
2017-03-13,19633.75,19656.48,19531.51,19545.74,0
2017-03-14,19609.5,19637.55,19599.62,19634.29,0
2017-03-15,19577.38,19581.53,19503.74,19528.75,0
2017-03-16,19590.14,19618.99,19454.17,19458.7,0
2017-03-17,19521.59,19547.51,19487.92,19510.89,0
2017-03-21,19455.88,19485.14,19337.22,19416.55,0
2017-03-22,19041.38,19183.27,19026.53,19146.62,0
2017-03-23,19085.31,19105.11,18973.75,19048.84,0
2017-03-24,19262.53,19296.05,19060.64,19066.35,0
2017-03-27,18985.59,19086.89,18932.09,19071.19,0
2017-03-28,19202.87,19203.64,19113.44,19159.07,0
2017-03-29,19217.48,19251.3,19164.61,19216.78,0
2017-03-30,19063.22,19218.08,19043.48,19150.82,0
2017-03-31,18909.26,19210.92,18909.26,19170.42,0
2017-04-03,18983.23,19068.62,18920.52,18988,0
2017-04-04,18810.25,18947.33,18703.63,18933.82,0
2017-04-05,18861.27,18941.94,18773.94,18900.7,0
2017-04-06,18597.06,18797.44,18532.65,18754.37,0
2017-04-07,18664.63,18785.73,18517.43,18714.98,0
2017-04-10,18797.88,18850.8,18762.7,18800.22,0
2017-04-11,18747.87,18767.7,18661.86,18717.55,0
2017-04-12,18552.61,18602.5,18460.59,18592.1,0
2017-04-13,18426.84,18455.25,18304.72,18391.72,0
2017-04-14,18335.63,18531.91,18285.73,18531.91,0
2017-04-17,18355.26,18361.44,18224.68,18239.84,0
2017-04-18,18418.59,18547.46,18362.73,18497.38,0
2017-04-19,18432.2,18467.73,18327.33,18327.33,0
2017-04-20,18430.49,18523.4,18420.82,18446.39,0
2017-04-21,18620.75,18648.28,18542.42,18591.82,0
2017-04-24,18875.88,18910.33,18840.13,18890.38,0
2017-04-25,19079.33,19109.76,18867.19,18872.56,0
2017-04-26,19289.43,19289.43,19170.86,19184.92,0
2017-04-27,19251.87,19281.7,19199.59,19205.59,0
2017-04-28,19196.74,19264.57,19164.68,19240.65,0
2017-05-01,19310.52,19311.21,19144.62,19154.03,0
2017-05-02,19445.7,19464.3,19335.02,19335.72,0
2017-05-08,19895.7,19929.48,19705.13,19709.01,0
2017-05-09,19843,19917.45,19838.71,19915.64,0
2017-05-10,19900.09,19938.53,19866.3,19890.56,0
2017-05-11,19961.55,19989.94,19906.35,19943.95,0
2017-05-12,19883.9,19941.64,19809.91,19941.64,0
2017-05-15,19869.85,19869.85,19740.63,19753.46,0
2017-05-16,19919.82,19998.49,19862.41,19953.06,0
2017-05-17,19814.88,19842.78,19764.63,19806.78,0
2017-05-18,19553.86,19601.53,19449.73,19556.99,0
2017-05-19,19590.76,19628.64,19497.29,19591.41,0
2017-05-22,19678.28,19722.93,19618.73,19670.48,0
2017-05-23,19613.28,19693.02,19585.54,19647.74,0
2017-05-24,19742.98,19782.81,19690.1,19777.56,0
2017-05-25,19813.13,19850.93,19720.12,19737.21,0
2017-05-26,19686.84,19801.59,19686.49,19798.49,0
2017-05-29,19682.57,19736.62,19627.19,19697.18,0
2017-05-30,19677.85,19691.44,19570.13,19681.11,0
2017-05-31,19650.57,19673.51,19589.25,19630.33,0
2017-06-01,19860.03,19887.66,19686.32,19692.16,0
2017-06-02,20177.28,20239.81,19967,19970.23,0
2017-06-05,20170.82,20224.54,20104.13,20135.42,0
2017-06-06,19979.9,20152.95,19948.02,20122.26,0
2017-06-07,19984.62,20023.24,19908.07,19951.68,0
2017-06-08,19909.26,20061.22,19896.35,20048.28,0
2017-06-09,20013.26,20096.01,19927.07,19953.06,0
2017-06-12,19908.58,19949.07,19837.64,19920.77,0
2017-06-13,19898.75,19929.03,19850.86,19859.81,0
2017-06-14,19883.52,20009.93,19879.6,19974.56,0
2017-06-15,19831.82,19963.36,19755.34,19815.54,0
2017-06-16,19943.26,20015.16,19884.8,19931.15,0
2017-06-19,20067.75,20087.71,19949.88,19974.3,0
